"","Mono","CD4 T","CD8 T","NK","B","other T","other","DC"
"BOB12371_4",1.7141742561705e-06,6.00790052536881e-06,1.41754710520492e-05,0.0296531249662925,0.0184533709314313,3.31456332733095e-06,0.951494172414238,0.000374119578877579
"BOB12540_4",0.224351399710417,0.00483766119620534,0.00041335769347769,0.0376258940441661,0.0804842002229076,0.12151781990007,0.519808079276579,0.0109615879561776
"BOB12560_2",0.202183611443879,5.1663585011009e-05,0.0179840918248236,0.0185511894530212,0.103533532044853,0.143910474051566,0.497345568808182,0.0164398687886631
"BOB12691_2",0.071669400232786,2.33923943516249e-05,0.0441729127624746,0.0462310171650762,0.0488748150641188,0.102700130566312,0.661834311508046,0.0244940203068354
"BOB13250_4",1.58881471401557e-06,1.82030829317759e-06,1.34120770896183e-06,0.0101644377897427,3.38193661826785e-06,1.50295464583016e-06,0.989822877492341,3.04949593607069e-06
"BOB13352_4",0.238022696793352,0.000279622538648879,5.12104302322958e-06,0.054459540362163,0.0493811870358376,0.0430839971913404,0.612383469266131,0.00238436576950417
"BOB13497_3",5.62180274415313e-07,5.46044320454192e-07,4.07606807221288e-07,0.000840958042164687,5.64717989402209e-07,5.9702034360403e-07,0.99915547194639,8.92441709889146e-07
"BOB13692_3",0.184517588259871,6.69943275397208e-06,0.00168933567883751,0.0303726371450675,0.0852065324472402,0.187780883011591,0.50061828631783,0.00980803770680899
"BOB13703_5",3.72272713786338e-06,0.00532265609399824,4.41449154622949e-06,0.0495692081608331,0.0143893816934992,3.08376442935743e-06,0.928285958666799,0.0024215744017582
"BOB14224_4",0.0940916693145991,1.18886711489864e-06,1.13492678342307e-06,0.0161479088708924,3.55681242775643e-06,1.81914995262609e-06,0.889743230217859,9.49184037152774e-06
"BOB14400_2",5.72444596247688e-07,9.08555959780643e-07,9.17298794367847e-07,0.00769991877936974,4.73122229699658e-06,9.16082995632644e-07,0.992238606321547,5.34292944401173e-05
"BOB14552_4",0.0154590226675936,0.107533911555431,0.000627844617131583,0.0632111782573542,0.0727477635199042,0.0664346770337409,0.650318164424519,0.0236674379243246
"BOB14638_2",7.04961719112688e-06,1.06338029284365e-05,4.21611235138519e-06,0.0719751534396245,0.043622414920284,0.0221787763407502,0.847347948135104,0.0148538076317668
"BOB14897_4",0.323981651999713,0.014381675915535,9.10222518959129e-05,0.0456140440690612,0.076523121521568,0.0961407551682765,0.44080690193376,0.00246082714018997
"BOB15272_4",0.000248520507428682,0.000378143745206226,8.33263228916033e-06,0.0892343170528748,0.0370347676961458,0.00157840091753341,0.858901017599546,0.0126164998489763
"BOB15650_2",2.45359030074124e-06,0.000164993167155234,1.31789847728078e-05,0.0617142355831259,0.0580719769918081,0.00227528216417573,0.865062090227102,0.0126957892915591
"BOB15800_2",8.80673524846558e-06,1.57823401665393e-05,0.0255558942230858,0.00411039430871137,0.10292460961302,0.118985782532609,0.710418514486075,0.0379802157610847
"BOB16124_4",1.14915529730604e-06,3.66005303413709e-06,2.71243416390201e-06,0.0305808439086562,0.0265703504128381,2.56537314916536e-06,0.942822351176857,1.63674860050255e-05
"BOB16201_4",5.53641188619284e-07,0.00423113304718324,0.234262490685955,0.0374028844298683,0.0434527905421179,1.8743920845323e-06,0.680629146998448,1.91262631547394e-05
