"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL14P1",550.252298075646,0.0265909596918785,0.312925197829998,0.0849754506069674,0.932280907680298,0.990759448592188
"RPL15",4088.00181588558,-0.0353882701272598,0.168251283730129,-0.210329866986464,0.833410226132535,0.978580105022543
"RPL15P3",75.3862244472812,0.135512457211815,0.268128696461427,0.505400798199567,0.613277358347398,0.933645033277621
"RPL17",9693.62333035831,0.158662448506793,0.176862367365581,0.897095582684537,0.369667915631338,0.880606646693936
"RPL17-C18orf32",453.262804332352,0.772120068870057,0.267018630890009,2.89163368974096,0.00383244499535599,0.371596016274702
"RPL18",3428.76471615993,-0.439202214569198,0.238609131731859,-1.8406764711032,0.0656689839344174,0.671225403871088
"RPL18A",1136.80094288733,-0.214595981399278,0.263634828423932,-0.813989497071314,0.415650967846076,0.891731871288881
"RPL18AP3",93.0226087476246,-0.288609713828239,0.367325444655987,-0.785705749566387,0.432039894057726,0.896940125109905
"RPL19",10655.0576928976,0.0454875901198186,0.261640584671603,0.173855253293032,0.861979219686619,0.984686376584707
"RPL21",11590.8986883148,0.292687032182079,0.198472180344149,1.47470054329308,0.140293069964559,0.752559108600115
"RPL21P123",47.3531482606484,0.446431795231929,0.529261822193965,0.843498957437213,0.398949448588295,0.886962912491801
"RPL21P44",37.4894509963265,0.155101684301388,0.602537365847472,0.257414217097121,0.796859028930818,0.969870974748469
"RPL22",3474.76518090055,0.0780094658154129,0.175572973225219,0.444313634282112,0.656815845131906,0.94304336161422
"RPL22L1",86.1668128330544,0.112379181085659,0.282598275088966,0.397664072968175,0.690877823610013,0.950399449762599
"RPL23",6002.38752121368,0.324942122460998,0.243526057398861,1.33432178031277,0.182098422541284,0.790388357463086
"RPL23A",12698.8738468435,0.0413262665172636,0.173088754487793,0.238757663024134,0.811293500857246,0.973569198872002
"RPL23AP53",126.067801915034,0.0478736730273865,0.404199790471409,0.118440618119946,0.905718543652429,0.989198747021526
"RPL23AP82",223.225256179545,0.21474828900381,0.480277503170209,0.447133766595984,0.654778479987994,0.94304336161422
"RPL24",3099.90032387184,0.0752840249720127,0.192287605308415,0.39151782482944,0.69541451576765,0.951104585783121
"RPL26",5551.14726419832,0.129590677449203,0.199665224235477,0.649039801224318,0.516312650438806,0.914338161504581
"RPL26L1",86.0043840771607,-0.317100672437667,0.337360016570572,-0.939947405923052,0.347244539086104,0.871254987810948
"RPL26P19",77.7068395761277,0.153713603841832,0.34540283015237,0.445027053698497,0.6563002033712,0.94304336161422
"RPL27",2078.77993921655,0.0638323580872168,0.166484954168746,0.383412173225681,0.701414178793435,0.953744949515987
"RPL27A",5948.5632205343,0.0743072167768917,0.18661037773643,0.398194450267089,0.690486856504671,0.950357950640912
"RPL28",826.853657290346,-0.234525693554966,0.265726300384382,-0.882583670550174,0.377461254507914,0.883471360690063
"RPL29",1001.82855754273,-0.154727660068217,0.245829276453844,-0.629411038018771,0.529079993479481,0.919281804233708
"RPL3",10582.4879229389,-0.292342147165892,0.23203586240665,-1.2599007073034,0.207705183561649,0.805053486592184
"RPL30",3436.40897860102,0.257819127665264,0.168578687668991,1.52936964470561,0.12617283324167,0.74616157928716
"RPL31",5320.89862129925,0.209977023088474,0.166157091010559,1.26372592232691,0.206328417564407,0.803650948390127
"RPL32",18851.544846284,0.0191398409777611,0.16753291673251,0.114245256102838,0.90904337755211,0.989198747021526
"RPL32P3",76.6475421332734,-0.449622082944702,0.390743006732279,-1.1506849136081,0.249861885258469,0.827696575678135
"RPL34",2553.68933345274,0.330743677768511,0.189237492222563,1.74777034869772,0.0805038016577327,0.692588231745405
