,BOB12371,BOB12540,BOB16124,BOB17103,BOB17481,BOB18762,BOB20101,BOB20533,BOB20722,BOB21170,BOB21321,BOB21695,BOB23664,BOB23984,BOB25183,BOB26804,BOB27302,BOB28258
NINJ1,3.353109,4.46774,4.382864,6.987562,9.570146,8.592607,3.42741,10.196766,5.850368,8.066696,6.591105,34.182717,3.31704,7.009696,7.398495,4.151383,7.743694,19.360112
NINJ2,0,2.086443,0,0.574879,1.973829,0.851998,0.591327,3.886327,0,0,0.863009,0.946175,1.670127,0,2.087313,0.678043,0.947779,4.197292
NINL,11.233499,11.531817,21.806497,11.374337,13.82572,15.272924,21.190232,24.819268,27.270945,2.857881,51.279744,15.957951,14.562955,11.86401,14.258699,22.845779,34.42189,39.650905
NIP7,3.832042,8.509398,7.428646,14.531173,7.423886,10.381907,7.552657,8.945921,9.935225,10.758988,14.437047,10.43586,5.657099,8.47327,6.462795,9.673354,10.250349,2.835357
NIPA1,4.776538,1.61613,4.353876,3.451771,6.084856,2.977724,12.681932,8.677933,7.909055,7.785805,5.242372,11.891804,8.316364,14.508512,5.711916,9.967108,5.971043,1.957659
NIPA2,21.217593,26.220244,19.597047,24.948768,20.365329,17.602507,36.391949,22.668472,20.668475,28.003866,28.383667,18.824991,28.151824,19.898535,14.934805,23.230666,22.192067,18.988074
NIPAL1,0,0.024477,2.177381,9.606102,3.662624,1.204932,1.97796,0.141554,11.372695,0.015539,4.400661,3.542688,2.753761,0.719437,1.966904,8.917913,3.091359,0.406013
NIPAL2,46.846977,63.568972,26.985454,49.773127,42.388312,42.440885,86.122217,60.714486,68.292295,19.266144,52.698075,29.629865,45.964941,60.793912,20.908173,44.335507,23.534343,53.844646
NIPAL3,4.612213,4.207639,7.635224,9.894405,11.92278,8.243098,7.207407,2.271535,7.41838,0.720292,5.768247,16.69071,5.822172,3.23094,8.338679,8.435438,7.192823,6.162979
NIPAL4,0.123325,0,0,0,0.420869,0.642618,2.963036,1.185211,0,10.953503,3.407609,0.385412,0.029778,0.083754,0,0.928203,0.547678,3.244776
NIPBL,271.235849,196.568661,177.160228,209.387892,217.580648,241.30148,241.498946,186.666861,204.157304,131.112505,177.332158,115.224153,132.817672,221.808565,160.287301,245.408539,144.918813,168.031634
NIPSNAP1,7.574171,10.508991,42.345934,20.833693,30.234454,31.761688,11.673757,13.168577,20.26709,86.943955,19.245171,52.323478,39.885965,20.82357,34.676024,18.93374,19.13655,16.675835
NIPSNAP3A,17.234515,16.633413,6.388216,12.567301,14.89971,14.161198,19.341777,13.488727,18.443742,20.534741,8.878327,13.277168,13.388368,10.436924,15.332675,12.844932,18.430978,11.923687
NIPSNAP3B,0,4.02039,1.394092,6.581324,11.881392,4.174765,0.902747,1.275836,4.472627,0,15.299216,3.006168,2.413472,2.914037,3.815501,5.897303,1.674288,2.518288
NISCH,99.6037,65.839083,104.783406,89.172285,116.116854,106.359914,108.747864,67.184585,96.30825,80.382088,52.752671,116.663398,51.749602,67.139695,96.394489,125.640769,72.910348,153.516554
NIT1,23.433245,25.651241,14.757239,41.477808,29.49408,19.897135,19.249077,16.931931,12.36433,23.222954,26.638504,23.878004,22.586525,33.699756,21.332298,16.842749,23.115242,24.964611
NIT2,48.518629,27.105023,40.944883,51.91514,38.256625,41.024027,30.505855,20.853819,40.340971,45.361408,62.762692,40.565938,27.165042,58.883219,30.444347,35.612346,39.823584,29.691054
NKAIN1,0,0,0.95138,0.308701,10.549257,2.352093,2.39634,1.812401,0.366359,0.033121,0,11.478599,0.038274,6.156821,0.305205,0.210276,7.249544,0
NKAP,6.716271,8.062422,11.394067,8.915136,5.648516,8.373866,3.652038,8.991346,7.87268,9.298623,3.346261,3.618204,5.448198,13.024946,8.662476,10.040858,6.519665,4.873683
NKAPL,0,0.086047,0.601826,0,0.491464,0.607481,0.205966,0.67843,0.202959,1.536721,1.078106,0.81255,0.443323,1.222687,0.611744,0.601047,1.465673,0.032488
NKAPP1,0.079423,0.113827,0.868235,0.159151,0.670341,0.459099,0.34041,0.224076,0.134316,0,0.190051,0.953964,0.12554,0.485435,0.269399,0.216348,0.044034,0.450932
NKD1,0,0.8398,4.323564,0.807588,0.86315,2.237742,2.133082,1.534184,1.825732,4.004214,0.049677,0.161436,2.455048,4.192765,2.28747,0.253844,0.138093,2.086915
NKD2,0.253384,1.391386,8.642128,4.000951,4.026685,21.566211,0.75999,0.500357,1.261684,0.161792,0.654938,5.516419,2.522288,1.153985,3.152495,1.722988,3.9479,7.319947
NKG7,5.792498,0.569755,2.276559,0,1.270637,0.766792,0,1.203437,6.08849,0,0.547915,0.277885,2.523807,1.404516,1.055019,0.364777,0.14741,3.416519
NKIRAS1,13.194498,6.776519,6.740855,1.438878,12.221654,5.329462,4.288627,3.82369,1.960419,5.648654,5.681755,2.874606,5.466962,14.052828,6.762352,7.777513,5.082726,5.298563
NKIRAS2,17.501721,13.795468,13.863417,11.693805,9.940666,4.62512,5.276424,12.237482,9.040022,5.90016,16.601182,15.484917,6.146385,6.237721,14.15763,9.688553,13.224689,7.922599
NKPD1,0,0.027808,0.191818,0.129594,0,0.112134,0.08483,0,0.032832,0,0.275694,0.191613,0,0,0.055966,0.454752,0.438975,0
NKRF,5.792542,6.998448,6.376269,6.030635,11.317576,6.438791,6.141451,12.280993,7.108936,8.522751,8.434607,2.968585,5.965329,7.664747,5.901293,9.004403,5.067728,6.015926
NKTR,260.776564,144.644223,165.147259,121.46148,203.115594,131.333785,166.154948,176.416799,153.995348,166.569665,114.632108,86.285483,83.238328,215.665183,115.32628,235.592904,68.334993,146.717957
NKX3-1,0.113238,0.162249,0.028064,0.661802,1.599542,0.122685,0,0.187756,0.047879,0,0.101556,0.692595,0.059615,0.346054,1.883114,0.921144,0.367626,0.254344
NKX6-1,0,0.124585,0.259929,0.23226,0.236973,0.15497,0.819755,0.245312,0,0.198298,0.728118,0.148506,0.677918,3.480107,0.36367,0.315859,0.43382,0.047011
NLE1,2.82755,11.688654,11.410778,11.686953,8.641534,7.852592,2.230672,5.588009,4.311752,3.446349,17.394112,10.286813,7.05022,1.829379,13.705375,9.928112,8.428058,4.915342
NLGN1,16.124556,2.559443,13.280204,3.869383,5.635231,9.338115,3.568506,1.061886,6.516395,2.481411,3.797783,2.777634,4.503102,3.339526,8.619236,5.936025,3.268348,5.745287
NLGN2,10.022183,21.792629,19.139176,15.389715,19.575591,19.823557,7.778351,24.344285,10.450181,9.081678,13.553935,14.467376,6.771247,6.073468,28.44254,13.165433,11.539566,21.060805
